설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
감초약국,충청북도,충주시,충청북도 충주시 예성4길 52 (교현동),충청북도 충주시 교현2동593-1,36.97559001,127.9334553,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
교현충일약국,충청북도,충주시,충청북도 충주시 광명1길 2 (교현동),충청북도 충주시 교현2동619-14,36.97848038,127.9292631,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
권약국,충청북도,충주시,충청북도 충주시 예성로 186 (성내동),충청북도 충주시 성내동53,36.972878,127.934401,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
그린프라자약국,충청북도,충주시,충청북도 충주시 앙성면 용당1길 30,충청북도 충주시 앙성면용포리277,37.10727369,127.7571017,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
기린수한약국,충청북도,충주시,충청북도 충주시 예성로 129 (용산동),충청북도 충주시 용산동 9번지,36.9684076,127.9333042,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
남산태평양약국,충청북도,충주시,충청북도 충주시 남산4길 52 (교현동),충청북도 충주시 교현1동981,36.96644883,127.9448509,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
늘사랑약국,충청북도,충주시,충청북도 충주시 번영대로 190 (연수동),충청북도 충주시 연수동 1379번지,36.98687538,127.9386693,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
늘품약국,충청북도,충주시,충청북도 충주시 번영대로 195 (연수동),충청북도 충주시 연수동 1308번지 6호,36.98739852,127.93959,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
다나은약국,충청북도,충주시,"충청북도 충주시 충인2길 6-1, 1층 (충의동)",충청북도 충주시 충의동 291번지,36.97337139,127.9303572,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
대소원온누리약국,충청북도,충주시,충청북도 충주시 대소원면 쇠실로 1016,충청북도 충주시 대소원면 대소리 155번지 3호,36.97504845,127.8189807,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
대학약국,충청북도,충주시,충청북도 충주시 국원대로 78 (교현동),충청북도 충주시 교현2동 618번지 5호,36.9784439,127.9285106,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
동해물약국,충청북도,충주시,"충청북도 충주시 남산로 74 (용산동, 충주농협용산지점)",충청북도 충주시 용산동 1641,36.96152637,127.9404747,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
드림약국,충청북도,충주시,충청북도 충주시 국원대로 72 (교현동),충청북도 충주시 교현동 616번지,36.97766878,127.9283316,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
명기약국,충청북도,충주시,충청북도 충주시 번영대로 182 (연수동),충청북도 충주시 연수동 1383번지,36.986884,127.9378941,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
명문약국,충청북도,충주시,충청북도 충주시 봉계1길 66 (칠금동),충청북도 충주시 칠금동860,36.98212196,127.9164768,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
플러스조은약국,전라남도,순천시,"전라남도 순천시 신월큰길 7, 가동 1층 (조례동)",,34.9604789385,127.5203312408,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
더드림약국,전라남도,순천시,전라남도 순천시 신월큰길 9 (조례동),,34.9604580529,127.5201146490,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
365일연향대형약국,전라남도,순천시,"전라남도 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",,34.9509075411,127.5168978968,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
금당약국,전라남도,순천시,전라남도 순천시 해룡면 장선배기길 284,,34.9450955632,127.5303187178,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
소망약국,전라남도,순천시,전라남도 순천시 대석길 31 (연향동),,34.9460201600,127.5254944273,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
정다운온누리약국,전라남도,순천시,전라남도 순천시 율산길 52 (연향동),,34.9406125010,127.5274743686,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
큰승주약국,전라남도,순천시,전라남도 순천시 중앙로 104 (남내동),,34.9547862668,127.4841962311,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
행림당약국,전라남도,순천시,전라남도 순천시 중앙로 166 (매곡동),,34.9604132181,127.4847146927,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
늘 평화로운 약국,전라남도,순천시,전라남도 순천시 양율길 176 (대룡동),,34.9078096412,127.4836742022,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
백제약국,전라남도,순천시,전라남도 순천시 팔마로 103 (조곡동),,34.9460445057,127.4997975114,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
남부종합약국,전라남도,순천시,전라남도 순천시 중앙초등아랫길 80 (풍덕동),,34.9421653418,127.5034612950,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
행복주는약국,전라남도,순천시,전라남도 순천시 중앙로 67 (저전동),,34.9516409675,127.4835013833,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
밝은약국,전라남도,순천시,전라남도 순천시 이수로 317 (조례동),,34.9541235189,127.5183897240,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
성신약국,전라남도,순천시,전라남도 순천시 중앙로 129 (매곡동),,34.9572872448,127.4838312460,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
승주약국,전라남도,순천시,전라남도 순천시 순광로 209 (조례동),,34.9635983501,127.5411591434,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
누엘약국,전라남도,순천시,전라남도 순천시 조례1길 10-26 (조례동),,34.9599317322,127.5222168930,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
다정약국,전라남도,순천시,전라남도 순천시 장선배기1길 6-10 (조례동),,34.9531835912,127.5231135324,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
왕지약국,전라남도,순천시,전라남도 순천시 백연길 104 (조례동),,34.9533896349,127.5319162322,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
현대온누리약국,전라남도,순천시,전라남도 순천시 장선배기1길 4 (조례동),,34.9530494764,127.5226714794,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
메디타운정겨운약국,전라남도,순천시,전라남도 순천시 신월큰길 13 (조례동),,34.9604321051,127.5198652561,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
효성온누리약국,전라남도,순천시,전라남도 순천시 우명길 41 (연향동),,34.9477064321,127.5128464948,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
비타민약국,전라남도,순천시,전라남도 순천시 백연길 98 (조례동),,34.9535600261,127.5324646223,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
행복한온누리약국,전라남도,순천시,전라남도 순천시 조례못등길 23 (조례동),,34.9536370263,127.5271069559,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
편안한김약국,전라남도,순천시,전라남도 순천시 순광로 199 (조례동),,34.9632356539,127.5403252720,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
큰녹십자약국,전라남도,순천시,전라남도 순천시 중앙로 8-1 (장천동),,34.9476272744,127.4876801255,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
세명약국,전라남도,순천시,전라남도 순천시 호남길 3 (행동),,34.9569324890,127.4837113558,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
배들약국,전라남도,순천시,"전라남도 순천시 서면 배들이길 17, 상가동 1층 101호 (선평배들마을아파트)",,34.9893725544,127.4979190233,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
메디팜프라자약국,전라남도,순천시,전라남도 순천시 연향중앙상가길 27 (연향동),,34.9512153324,127.5200933745,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
참조은약국,전라남도,순천시,전라남도 순천시 해룡면 장선배기길 256,,34.9479146877,127.5303864618,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
별량우리들약국,전라남도,순천시,전라남도 순천시 별량면 별량길 123,,34.8712105857,127.4510698083,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
박약국,전라남도,순천시,전라남도 순천시 환선로 128 (석현동),,34.9668328532,127.4875237774,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
조례큰약국,전라남도,순천시,전라남도 순천시 이수로 325 (조례동),,34.9541391492,127.5192463988,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
이화약국,전라남도,순천시,전라남도 순천시 우석로 98 (남정동),,34.9374331900,127.4887143608,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
이조약국,전라남도,순천시,전라남도 순천시 서문성터길 1 (행동),,34.9571058463,127.4834793908,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
승주동아약국,전라남도,순천시,전라남도 순천시 승주읍 승주로 706,,35.0137851750,127.3868675601,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
동아약국,전라남도,순천시,"전라남도 순천시 팔마로 15-4, 동아약국 (장천동)",,34.9468277055,127.4902217974,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
성모약국,전라남도,순천시,전라남도 순천시 해룡면 순광로 220,,34.9630958596,127.5426683674,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
가든약국,전라남도,순천시,전라남도 순천시 장명로 47 (장천동),,34.9511509143,127.4892127585,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
성심약국,전라남도,순천시,전라남도 순천시 해룡면 순광로 218,,34.9630268714,127.5423529032,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
아랫장약국,전라남도,순천시,"전라남도 순천시 팔마로 48, 1층 (인제동)",,34.9461800120,127.4935070835,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
영재약국,전라남도,순천시,전라남도 순천시 중앙로 54 (장천동),,34.9506872438,127.4844676039,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
은약국,전라남도,순천시,전라남도 순천시 이수로 291 (조례동),,34.9526127245,127.5159540571,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
우리약국,전라남도,순천시,전라남도 순천시 해룡면 조례못등길 123,,34.9477831581,127.5288815776,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
온누리조례제일약국,전라남도,순천시,전라남도 순천시 조례1길 19 (조례동),,34.9606512591,127.5236710954,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
역전약국,전라남도,순천시,전라남도 순천시 풍덕주택길 10 (조곡동),,34.9447330200,127.5019346922,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
21세기약국,전라남도,순천시,전라남도 순천시 팔마로 22 (장천동),,34.9463336781,127.4906413031,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
시장약국,전라남도,순천시,전라남도 순천시 장평로 53 (인제동),,34.9445898222,127.4938558443,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
명성온누리약국,전라남도,순천시,전라남도 순천시 봉화3길 14 (조례동),,34.9632556855,127.5199811176,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
호남약국,전라남도,순천시,전라남도 순천시 중앙로 58 (장천동),,34.9508880417,127.4842489564,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
보문약국,전라남도,순천시,전라남도 순천시 황전면 괴목길 87,,35.1031252973,127.4295968546,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
중앙약국,전라남도,순천시,전라남도 순천시 중앙로 82 (장천동),,34.9528546647,127.4841375771,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
온누리부부약국,전라남도,순천시,전라남도 순천시 남산로 144 (풍덕동),,34.9403271570,127.5040482721,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
정성약국,전라남도,순천시,전라남도 순천시 북정1길 2 (매곡동),,34.9625414435,127.4842673590,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
메디팜영진약국,전라남도,순천시,"전라남도 순천시 삼산로 102, 1층 (용당동)",,34.9732385129,127.4946615159,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
동방약국,전라남도,순천시,전라남도 순천시 중앙로 152 (매곡동),,34.9591269986,127.4845673037,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
전남약국,전라남도,순천시,전라남도 순천시 비봉2길 7 (조례동),,34.9718813273,127.5212170632,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
온누리보건약국,전라남도,순천시,전라남도 순천시 왕궁중앙길 28 (조례동),,34.9555757042,127.5332820256,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
성대약국,전라남도,순천시,전라남도 순천시 팔마로 132 (조곡동),,34.9450907158,127.5025600772,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
청계보건지소,전라남도,무안군,전라남도 무안군 청계면 청계중앙길 14-5,전라남도 무안군 청계면 도림리 501-9,34.91075811,126.4281983,,무안군보건소,061-450-5038,2025-02-05,4950000,전라남도 무안군
해룡면 행정복지센터 상삼출장소,전라남도,순천시,전라남도 순천시 해룡면 상삼길 16,,34.9492184490,127.5341284691,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
해룡면  행정복지센터 신대출장소,전라남도,순천시,전라남도 순천시 해룡면 매안로 162,,34.9366213393,127.5481894244,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
승주읍 행정복지센터,전라남도,순천시,전라남도 순천시 승주읍 승주로 731,,35.0145191208,127.3895301886,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
주암면 행정복지센터,전라남도,순천시,전라남도 순천시 주암면 동주로 2047,,35.0768196005,127.2350645610,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
송광면 행정복지센터,전라남도,순천시,전라남도 순천시 송광면 쌍향수길 1338,,34.9742885530,127.2638670299,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
외서면 행정복지센터,전라남도,순천시,전라남도 순천시 외서면 쌍향수길 440,,34.9137656861,127.2774038174,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
낙안면 행정복지센터,전라남도,순천시,전라남도 순천시 낙안면 민속마을길 1690,,34.9082183881,127.3466537679,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
별량면 행정복지센터,전라남도,순천시,전라남도 순천시 별량면 별량장길 25,,34.8743656479,127.4519415888,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
상사면 행정복지센터,전라남도,순천시,전라남도 순천시 상사면 상사호길 330,,34.9391229060,127.4551896083,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
해룡면 행정복지센터,전라남도,순천시,전라남도 순천시 해룡면 해룡로 1128-10,,34.9136953236,127.5377071935,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
서면 행정복지센터,전라남도,순천시,전라남도 순천시 서면 임촌동길 94,,34.9947358955,127.4884466221,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
황전면 행정복지센터,전라남도,순천시,전라남도 순천시 황전면 백야중길 12,,35.1013732399,127.4270183549,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
월등면 행정복지센터,전라남도,순천시,전라남도 순천시 월등면 월등로 571,,35.0934404247,127.3804966771,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
향동 행정복지센터,전라남도,순천시,전라남도 순천시 임청대길 1,,34.9526300621,127.4791311036,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
매곡동 행정복지센터,전라남도,순천시,전라남도 순천시 북정2길 63,,34.9639523555,127.4827994639,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
삼산동 행정복지센터,전라남도,순천시,전라남도 순천시 삼산로 3,,34.9708967486,127.4837727349,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
조곡동 행정복지센터,전라남도,순천시,전라남도 순천시 자경1길 13,,34.9500374930,127.4985772301,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
덕연동 행정복지센터,전라남도,순천시,전라남도 순천시 덕연로 41,,34.9485106328,127.5107521358,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
풍덕동 행정복지센터,전라남도,순천시,전라남도 순천시 풍덕1길 40,,34.9418574990,127.4972952544,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
남제동 행정복지센터,전라남도,순천시,전라남도 순천시 남정5길 1,,34.9412948310,127.4879434392,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
저전동 행정복지센터,전라남도,순천시,전라남도 순천시 청사1길 43,,34.9480573177,127.4840757650,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
장천동 행정복지센터,전라남도,순천시,전라남도 순천시 중앙로 22,,34.9485069922,127.4867659782,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
중앙동 행정복지센터,전라남도,순천시,전라남도 순천시 강남로 128,,34.9560077886,127.4864363267,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
도사동 행정복지센터,전라남도,순천시,전라남도 순천시 순천만길 27,,34.9253146800,127.4936561651,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
왕조1동 행정복지센터,전라남도,순천시,전라남도 순천시 조례신대길 8,,34.9621311908,127.5207589022,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
왕조2동 행정복지센터,전라남도,순천시,전라남도 순천시 왕궁길 50,,34.9552876369,127.5324572926,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
순천시보건소,전라남도,순천시,전라남도 순천시 중앙로 232,,34.9666770533,127.4860725604,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
승주보건지소,전라남도,순천시,전라남도 순천시 승주읍 승주로 694,,35.0139550024,127.3855902216,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
주암보건지소,전라남도,순천시,전라남도 순천시 주암면 동주로 2086,,35.0753247272,127.2391433967,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
송광보건지소,전라남도,순천시,전라남도 순천시 송광면 쌍향수길 1338,,34.9742885530,127.2638670299,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
외서보건지소,전라남도,순천시,전라남도 순천시 외서면 쌍향수길 440,,34.9137656861,127.2774038174,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
낙안보건지소,전라남도,순천시,전라남도 순천시 낙안면 민속마을길 1690,,34.9082183881,127.3466537679,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
별량보건지소,전라남도,순천시,전라남도 순천시 별량면 별량장길 27,,34.8740105610,127.4523514200,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
상사보건지소,전라남도,순천시,전라남도 순천시 상사면 상사초등길 36,,34.9429580122,127.4486976756,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
황전보건지소,전라남도,순천시,전라남도 순천시 황전면 백야중길 12,,35.1013732399,127.4270183549,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
월등보건지소,전라남도,순천시,전라남도 순천시 월등면 월등로 571,,35.0934404247,127.3804966771,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
도정보건진료소,전라남도,순천시,전라남도 순천시 승주읍 도정송정길 11,,35.0423613461,127.3699418371,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
운룡보건진료소,전라남도,순천시,전라남도 순천시 주암면 운룡2길 25,,35.0923849078,127.2013924098,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
어왕보건진료소,전라남도,순천시,전라남도 순천시 주암면 한동길 100,,35.0954769624,127.2282527242,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
창촌보건진료소,전라남도,순천시,전라남도 순천시 주암면 주목로 12,,35.0609734900,127.2768496538,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
후곡보건진료소,전라남도,순천시,전라남도 순천시 송광면 모후실2길 2,,35.0141557473,127.2105951582,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
도신보건진료소,전라남도,순천시,전라남도 순천시 외서면 도신길 96,,34.9101512524,127.2493402197,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
신전보건진료소,전라남도,순천시,전라남도 순천시 낙안면 금산신전길 17,,34.9473887224,127.3531773794,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
창녕보건진료소,전라남도,순천시,전라남도 순천시 낙안면 창녕길 9,,34.9200333924,127.3875675346,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
송기보건진료소,전라남도,순천시,전라남도 순천시 별량면 송산송기길 140,,34.8557014152,127.4156975113,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
마산보건진료소,전라남도,순천시,전라남도 순천시 별량면 마산길 132,,34.8459933573,127.4515772618,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
학산보건진료소,전라남도,순천시,전라남도 순천시 별량면 장산길 96-1,,34.8638199301,127.4881240663,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
마륜보건진료소,전라남도,순천시,전라남도 순천시 상사면 민속마을길 280-8,,34.9248797198,127.4590158307,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
쌍지보건진료소,전라남도,순천시,전라남도 순천시 상사면 쌍지길 6,,34.9322858894,127.4137037750,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
하사보건진료소,전라남도,순천시,전라남도 순천시 해룡면 하사길 79,,34.8595888668,127.5454418669,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
선월보건진료소,전라남도,순천시,전라남도 순천시 해룡면 선월길 43,,34.9163474261,127.5593417725,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
판교보건진료소,전라남도,순천시,전라남도 순천시 서면 판교안길 162-1,,35.0252328668,127.5025542263,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
구상보건진료소,전라남도,순천시,전라남도 순천시 서면 수통목길 3,,35.0015081734,127.5492065977,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
회덕보건진료소,전라남도,순천시,전라남도 순천시 황전면 삽재팔동길 391,,35.1082569895,127.4961715532,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
평죽보건진료소,전라남도,순천시,전라남도 순천시 황전면 농소길 9,,35.0801330762,127.4619252939,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
비촌보건진료소,전라남도,순천시,전라남도 순천시 황전면 비촌1길 83,,35.1742142314,127.4285195880,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
망룡보건진료소,전라남도,순천시,전라남도 순천시 월등면 복사골길 116,,35.0828853359,127.4063991294,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
신월보건진료소,전라남도,순천시,전라남도 순천시 월등면 월등로 360,,35.0875343603,127.3632040408,,순천시보건소,061-749-6827,2024-12-04,4820000,전라남도 순천시
거창군보건소,경상남도,거창군,경상남도 거창군 거창읍 거함대로 3079,,35.6809354,127.8987277,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
주상보건지소,경상남도,거창군,경상남도 거창군 주상면 주곡로 655,,35.74916739,127.9133698,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
웅양보건지소,경상남도,거창군,경상남도 거창군 웅양면 웅양로 1438-1,,35.80561435,127.9193171,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
고제보건지소,경상남도,거창군,경상남도 거창군 고제면 고제로 72,,35.8149188416,127.8721796502,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
북상보건지소,경상남도,거창군,경상남도 거창군 북상면 덕유월성로 2313,,35.77762769,127.8182894,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
위천보건지소,경상남도,거창군,경상남도 거창군 위천면 원학길 325,,35.74929763,127.8322716,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
마리보건지소,경상남도,거창군,경상남도 거창군 마리면 거안로 845,,35.69970448,127.8558419,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
남상보건지소,경상남도,거창군,경상남도 거창군 남상면 수남로 1827,,35.6438167,127.9078432,,경상남도 거창군,055-940-3505,2024-12-01,5470000,경상남도 거창군
