시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
청송시장,상설장+5일장,경상북도 청송군 청송읍 현충로 106,경상북도 청송군 청송읍 월막리 498-9,4일+9일,36.435147,129.0521199,8,농산물+축산물+수산물,,,Y,Y,1920,,2022-07-06,B553077,소상공인시장진흥공단
화목시장,5일장,경상북도 청송군 현서면 구산북로 57-1,경상북도 청송군 현서면 구산리 101,1일+6일,36.27540013,128.8973097,20,농산물+축산물+수산물,,,Y,Y,1940,,2022-07-06,B553077,소상공인시장진흥공단
안덕시장,상설장+5일장,경상북도 청송군 안덕면 명당2길 2,경상북도 청송군 안덕면 명당리 379-22,4일+9일,36.288065,128.957951,13,농산물+축산물+수산물,,,Y,Y,2000,,2022-07-06,B553077,소상공인시장진흥공단
왜관시장,상설장+5일장,경상북도 칠곡군 왜관읍 시장2길 9,경상북도 칠곡군 왜관읍 왜관리 211-187,1일+6일,35.995151,128.398256,132,농산물+축산물+수산물+가공식품+가정용품,,,Y,Y,1981,,2022-07-06,B553077,소상공인시장진흥공단
구룡포시장,상설장+5일장,경상북도 포항시 남구 구룡포읍 구룡포길 72-1,경상북도 포항시 남구 구룡포읍 구룡포리 963-2,3일+8일,35.990315,129.554001,125,농산물+수산물+기타소매업,,,Y,Y,2012,054-284-9040,2022-07-06,B553077,소상공인시장진흥공단
그린종합시장,상설장,경상북도 포항시 북구 용두산길 39,경상북도 포항시 북구 장성동 1352-1,매일,36.067294,129.3809605,31,농산물+의류/신발+음식점업+기타소매업,,,Y,Y,1996,,2022-07-06,B553077,소상공인시장진흥공단
기계시장,5일장,경상북도 포항시 북구 기계면 새마을발상지길 7,경상북도 포항시 북구 기계면 현내리 640-1,1일+6일,36.069961,129.204502,27,농산물+가공식품+의류/신발+기타소매업,,,N,N,1923,,2022-07-06,B553077,소상공인시장진흥공단
남부시장,상설장,경상북도 포항시 남구 상공로 43,경상북도 포항시 남구 상도동 629,매일,36.012627,129.356143,52,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,1987,054-282-8995,2022-07-06,B553077,소상공인시장진흥공단
용상공설시장,상설장,경상북도 안동시 경동로 862,경상북도 안동시 용상동 1242,매일,36.559471,128.750164,69,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2007,054-821-0640,2022-07-06,B553077,소상공인시장진흥공단
중앙신시장,상설장+5일장,경상북도 안동시 대안로 98-15,경상북도 안동시 옥야동 285-1,2일+7일,36.565117,128.724162,450,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2005,054-842-0040,2022-07-06,B553077,소상공인시장진흥공단
풍산공설시장,5일장,경상북도 안동시 풍산읍 하리들길 7-1,경상북도 안동시 풍산읍 하리리 234-6,3일+8일,36.577209,128.576575,53,농산물+축산물+가공식품+기타소매업,,,Y,Y,2006,,2022-07-06,B553077,소상공인시장진흥공단
북문시장,상설장+5일장,경상북도 안동시 북문옥정길 25,경상북도 안동시 율세동 409,2일+7일,36.568524,128.732614,84,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,2018,054-900-5800,2022-07-06,B553077,소상공인시장진흥공단
강구시장,상설장+5일장,경상북도 영덕군 강구면 강구시장1길 1-3,경상북도 영덕군 강구면 오포리 535-5,3일+8일,36.357835,129.379731,54,농산물+축산물+수산물,,,Y,Y,1919,054-734-6778,2022-07-06,B553077,소상공인시장진흥공단
남정시장,5일장,경상북도 영덕군 남정면 진불1길 31-3,경상북도 영덕군 남정면 장사리 365-1,2일+7일,36.285548,129.372881,20,농산물+축산물+수산물,,,Y,Y,1986,,2022-07-06,B553077,소상공인시장진흥공단
영덕시장,상설장+5일장,경상북도 영덕군 영덕읍 남석길 23-48,경상북도 영덕군 영덕읍 남석리 26-50,4일+9일,36.406706,129.369695,79,농산물+수산물+가공식품+기타소매업,,,Y,Y,1965,054-734-0082,2022-07-06,B553077,소상공인시장진흥공단
영해만세시장,상설장+5일장,경상북도 영덕군 영해면 예주시장5길 21,경상북도 영덕군 영해면 성내리 468-1,5일+10일,36.540895,129.407185,134,농산물+축산물+수산물+가공식품,,,Y,Y,1965,054-733-3997,2022-07-06,B553077,소상공인시장진흥공단
영양시장,상설장+5일장,경상북도 영양군 영양읍 시장5길 4,경상북도 영양군 영양읍 서부리 288-3,4일+9일,36.664345,129.115973,80,농산물+수산물+가정용품+음식점업+기타소매업,,,Y,Y,2008,054-683-1058,2022-07-06,B553077,소상공인시장진흥공단
선비골전통시장,상설장,경상북도 영주시 중앙로83번길 40,경상북도 영주시 영주동 373-5,매일,36.824243,128.623191,101,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,2009,054-634-7661,2022-07-06,B553077,소상공인시장진흥공단
신영주번개시장,상설장,경상북도 영주시 꽃동산로 24,경상북도 영주시 휴천동 306-7,매일,36.812594,128.621876,37,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2013,,2022-07-06,B553077,소상공인시장진흥공단
영주골목시장,상설장,경상북도 영주시 구성로378번길 36-13,경상북도 영주시 영주동 315-6,매일,36.824668,128.6228703,72,농산물+가공식품+기타소매업,,,Y,Y,2006,054-637-0078,2022-07-06,B553077,소상공인시장진흥공단
영주공설시장,상설장+5일장,경상북도 영주시 구성로330번길 30,경상북도 영주시 하망동 362-4,5일+10일,36.822556,128.6263204,106,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2006,054-635-9876,2022-07-06,B553077,소상공인시장진흥공단
영주문화시장,상설장,경상북도 영주시 중앙로83번길 32,경상북도 영주시 영주동 376-1,매일,36.823913,128.623562,165,의류/신발+가정용품+음식점업+기타소매업+근린생활서비스,,,Y,N,2010,054-634-0918,2022-07-06,B553077,소상공인시장진흥공단
영주소백쇼핑몰,상설장,경상북도 영주시 중앙로80번길 33-12,경상북도 영주시 하망동 364-30,매일,36.82348952,128.6261700357,100,의류/신발,,,Y,Y,2005,054-631-4603,2022-07-06,B553077,소상공인시장진흥공단
영주종합시장,상설장,경상북도 영주시 선비로79번길 40-12,경상북도 영주시 휴천동 305,매일,36.813604,128.622179,57,농산물+수산물+가공식품+가정용품+기타소매업,,,Y,Y,2006,054-638-6552,2022-07-06,B553077,소상공인시장진흥공단
영주중앙시장,상설장,경상북도 영주시 영주로192번길 10-1,경상북도 영주시 영주동 547,매일,36.825739,128.620977,68,가공식품+음식점업+기타소매업,,,Y,Y,2006,054-631-4936,2022-07-06,B553077,소상공인시장진흥공단
풍기인삼시장,상설장,경상북도 영주시 풍기읍 인삼로 8,경상북도 영주시 풍기읍 서부리 145-3,매일,36.873027,128.523617,53,가공식품,,,Y,Y,2003,054-636-7948,2022-07-06,B553077,소상공인시장진흥공단
풍기중앙시장,상설장,경상북도 영주시 풍기읍 동성로 73,경상북도 영주시 풍기읍 성내리 1-4,매일,36.870602,128.528199,74,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2006,,2022-07-06,B553077,소상공인시장진흥공단
풍기토종인삼시장,상설장,경상북도 영주시 풍기읍 인삼로 40,경상북도 영주시 풍기읍 성내리 148,매일,36.870288,128.522419,54,가공식품,,http://풍기토종인삼시장.kr,Y,Y,2009,054-633-2379,2022-07-06,B553077,소상공인시장진흥공단
후생시장,상설장,경상북도 영주시 번영로173번길 30,경상북도 영주시 영주동 334-9,매일,36.826967,128.623054,30,의류/신발+음식점업+기타소매업+근린생활서비스업,,,Y,Y,2012,,2022-07-06,B553077,소상공인시장진흥공단
금호공설시장,상설장+5일장,경상북도 영천시 금호읍 금호로 101,경상북도 영천시 금호읍 교대리 167-35,3일+8일,35.931669,128.873358,43,농산물+수산물+의류/신발+가정용품+기타소매업,,,Y,Y,2009,,2022-07-06,B553077,소상공인시장진흥공단
신녕공설시장,상설장+5일장,경상북도 영천시 신녕면 본관시장길 3,경상북도 영천시 신녕면 화성리 972-1,3일+8일,36.042091,128.787469,51,농산물+수산물+의류/신발+가정용품+기타소매업,,,Y,Y,2009,054-332-0241,2022-07-06,B553077,소상공인시장진흥공단
영천공설시장,상설장+5일장,경상북도 영천시 시장4길 52,경상북도 영천시 완산동 982-3,2일+7일,35.964249,128.938582,245,농산물+수산물+의류/신발+가정용품+기타소매업,,,Y,Y,2005,054-331-1772,2022-07-06,B553077,소상공인시장진흥공단
예천맛고을시장,상설장,경상북도 예천군 예천읍 맛고을길 57,경상북도 예천군 예천읍 노하리 74-41,매일,36.656888,128.454883,90,농산물+가공식품+의류/신발+가정용품+기타소매업,,,N,Y,2014,,2022-07-06,B553077,소상공인시장진흥공단
예천상설시장,상설장+5일장,경상북도 예천군 예천읍 상설시장2길 3-1,경상북도 예천군 예천읍 동본리 553,2일+7일,36.65599016,128.456149,82,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,1999,054-654-3751,2022-07-06,B553077,소상공인시장진흥공단
예천중앙시장,상설장+5일장,경상북도 예천군 예천읍 시장로 127,경상북도 예천군 예천읍 동본리 497-1,2일+7일,36.657434,128.457829,65,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2011,054-654-9941,2022-07-06,B553077,소상공인시장진흥공단
인동시장,상설장+5일장,경상북도 구미시 인동중앙로5길 16-3,경상북도 구미시 황상동 307-7,2일+7일,36.108198,128.4209296,126,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2005,,2022-07-06,B553077,소상공인시장진흥공단
장천시장,상설장+5일장,경상북도 구미시 장천면 상장5길 4,경상북도 구미시 장천면 상장리 918,5일+10일,36.12569981,128.493409,73,농산물+축산물+수산물+음식점업+기타소매업,,,Y,Y,2005,,2022-07-06,B553077,소상공인시장진흥공단
제일시장상가,상설장,경상북도 구미시 1공단로 192,경상북도 구미시 공단동 264-18,매일,36.101722,128.384107,47,기타소매업+근린생활서비스업,,,Y,Y,2009,,2022-07-06,B553077,소상공인시장진흥공단
종합제일시장,상설장,경상북도 구미시 구미중앙로9길 7,경상북도 구미시 원평동 118-31,매일,36.130316,128.329649,55,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2009,054-452-3611,2022-07-06,B553077,소상공인시장진흥공단
해평공설시장,5일장,경상북도 구미시 해평면 해평시장3길 2,경상북도 구미시 해평면 낙성리 138-25,4일+9일,36.195962,128.392355,86,농산물+축산물+수산물+의류/신발+가정용품,,,Y,Y,2005,054-474-4008,2022-07-06,B553077,소상공인시장진흥공단
현대유통쇼핑센타,상설장,경상북도 구미시 구미중앙로 61-6,경상북도 구미시 원평동 119-2,매일,36.130024,128.330042,91,농산물+축산물+수산물+가정용품+음식점업,,,Y,Y,2005,054-452-3611,2022-07-06,B553077,소상공인시장진흥공단
형곡시장프라자,상설장,경상북도 구미시 형곡서로 121,경상북도 구미시 형곡동 147-1,매일,36.112882,128.334333,129,의류/신발+가정용품+음식점업,,,Y,Y,2009,054-452-9662,2022-07-06,B553077,소상공인시장진흥공단
형곡중앙시장,상설장,경상북도 구미시 형곡로 186,경상북도 구미시 형곡동 321-1,매일,36.106318,128.336516,76,농산물+수산물+가공식품+의류/신발+기타소매업,,,Y,Y,2009,054-456-3580,2022-07-06,B553077,소상공인시장진흥공단
군위전통시장,상설장+5일장,경상북도 군위군 군위읍 중앙6길 4,경상북도 군위군 군위읍 서부리 18-1,3일+8일,36.239752,128.567929,61,농산물+축산물+수산물+가정용품+음식점업,,,Y,Y,1954,054-383-0400,2022-07-06,B553077,소상공인시장진흥공단
의흥시장,5일장,경상북도 군위군 의흥면 읍내5길 7,경상북도 군위군 의흥면 읍내리 594-1,5일+10일,36.174253,128.716305,35,농산물+축산물+가공식품+기타소매업+근린생활서비스업,,,Y,Y,1957,,2022-07-06,B553077,소상공인시장진흥공단
평화시장,상설장+5일장,경상북도 김천시 김천로 100,경상북도 김천시 평화동 259-3,5일+10일,36.123641,128.1130801,117,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,1977,054-431-2155,2022-07-06,B553077,소상공인시장진흥공단
황금시장,상설장+5일장,경상북도 김천시 황금시장4길 20,경상북도 김천시 황금동 31-1,5일+10일,36.11665981,128.125283,186,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,1964,054-435-5948,2022-07-06,B553077,소상공인시장진흥공단
(유)문경시중앙시장,상설장,경상북도 문경시 중앙로 87,경상북도 문경시 점촌동 197-14,매일,36.593536,128.197342,38,농산물+가공식품+기타소매업,,,Y,Y,2005,054-552-2402,2022-07-06,B553077,소상공인시장진흥공단
가은아자개시장,상설장+5일장,경상북도 문경시 가은읍 가은5길 7,경상북도 문경시 가은읍 왕능리 275-26,4일+9일,36.646609,128.060989,93,농산물+축산물+가공식품+기타소매업,,,Y,Y,2005,054-571-9819,2022-07-06,B553077,소상공인시장진흥공단
문경전통시장,상설장+5일장,경상북도 문경시 문경읍 문희로 41-15,경상북도 문경시 문경읍 하리 88-2,2일+7일,36.735583,128.107479,80,농산물+가공식품+기타소매업,,,Y,Y,2005,054-572-1404,2022-07-06,B553077,소상공인시장진흥공단
점촌전통시장 (구 신흥시장),상설장+5일장,경상북도 문경시 신흥시장길 19,경상북도 문경시 흥덕동 794-1,3일+8일,36.601389,128.204163,107,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2005,054-553-3308,2022-07-06,B553077,소상공인시장진흥공단
문경중앙시장,상설장,경상북도 문경시 신흥시장길 19,경상북도 문경시 흥덕동 794-1,매일,36.601389,128.204163,135,농산물+축산물+가공식품+의류/신발,,,Y,Y,2005,054-556-1230,2022-07-06,B553077,소상공인시장진흥공단
봉화상설시장,상설장+5일장,경상북도 봉화군 봉화읍 신시장1길 4,경상북도 봉화군 봉화읍 내성리 394-1,2일+7일,36.890136,128.735509,136,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2007,054-673-5945,2022-07-06,B553077,소상공인시장진흥공단
봉화춘양시장(춘양시장),상설장+5일장,경상북도 봉화군 춘양면 의양로 60,경상북도 봉화군 춘양면 의양리 357-29,4일+9일,36.936369,128.913044,134,농산물+수산물+의류/신발+음식점업+기타소매업,,,Y,Y,2005,054-674-3080,2022-07-06,B553077,소상공인시장진흥공단
상주중앙시장,상설장+5일장,경상북도 상주시 남성로 35,경상북도 상주시 남성동 85-10,2일+7일,36.413194,128.1608304,184,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,1987,054-535-7443,2022-07-06,B553077,소상공인시장진흥공단
은척시장,상설장+5일장,경상북도 상주시 은척면 봉중1길 16-1,경상북도 상주시 은척면 봉중리 383-12,4일+9일,36.532668,128.072955,24,농산물+가공식품+기타소매업,,,Y,Y,1968,,2022-07-06,B553077,소상공인시장진흥공단
풍물시장,상설장+5일장,경상북도 상주시 풍물시장길 16,경상북도 상주시 남성동 113-28,2일+7일,36.41284998,128.1606296,60,농산물+가공식품+근린생활서비스업,,,Y,Y,2013,,2022-07-06,B553077,소상공인시장진흥공단
함창시장,상설장+5일장,경상북도 상주시 함창읍 함창시장1길 45-6,경상북도 상주시 함창읍 구향리 122-16,1일+6일,36.567324,128.179144,50,농산물+가공식품+기타소매업,,,Y,Y,1951,,2022-07-06,B553077,소상공인시장진흥공단
화령시장,상설장+5일장,경상북도 상주시 화서면 화령남6길 7,경상북도 상주시 화서면 신봉리 134-10,3일+8일,36.444791,127.950695,50,가공식품+기타소매업+근린생활서비스업,,,Y,Y,1965,,2022-07-06,B553077,소상공인시장진흥공단
성주시장,상설장+5일장,경상북도 성주군 성주읍 시장길 43,경상북도 성주군 성주읍 경산리 718-63,2일+7일,35.914466,128.285106,44,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2011,054-933-7565,2022-07-06,B553077,소상공인시장진흥공단
구담공설시장,상설장+5일장,경상북도 안동시 풍천면 섬마길 7-9,경상북도 안동시 풍천면 구담리 494-1,4일+9일,36.541716,128.464613,110,농산물+축산물+수산물+음식점업+기타소매업,,,Y,Y,2017,,2022-07-06,B553077,소상공인시장진흥공단
안동구시장,상설장,경상북도 안동시 번영1길 55,경상북도 안동시 서부동 181-1,매일,36.565812,128.727874,266,농산물+축산물+수산물+의류/신발+기타소매업,,www.adjang.kr,Y,Y,2008,054-858-9002,2022-07-06,B553077,소상공인시장진흥공단
경산공설시장,상설장+5일장,경상북도 경산시 경안로31길 19,경상북도 경산시 중방동 531-4,5일+10일,35.820519,128.735758,204,농산물+수산물+의류/신발+가정용품+기타소매업,,https://gyeongsan.wizweb.kr,Y,Y,1956,053-816-9933,2022-07-06,B553077,소상공인시장진흥공단
자인공설시장,상설장+5일장,경상북도 경산시 자인면 자인로 206-4,경상북도 경산시 자인면 서부리 256-2,3일+8일,35.816479,128.822971,60,농산물+수산물+의류/신발+가정용품+기타소매업,,,Y,Y,1969,,2022-07-06,B553077,소상공인시장진흥공단
하양공설시장,상설장+5일장,경상북도 경산시 하양읍 대학로 1543,경상북도 경산시 하양읍 금락리 35-7,4일+9일,35.915632,128.819253,109,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,1931,054-856-0202,2022-07-06,B553077,소상공인시장진흥공단
감포시장,상설장+5일장,경상북도 경주시 감포읍 감포로 115,경상북도 경주시 감포읍 감포리 436-1,3일+8일,35.80411024,129.502014,51,농산물+수산물+가공식품+가정용품+기타소매업,,,Y,Y,2012,054-777-1102,2022-07-06,B553077,소상공인시장진흥공단
경주성동공설시장,상설장,경상북도 경주시 원화로281번길 11-11,경상북도 경주시 성동동 57-38,매일,35.845546,129.2162805,587,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2007,054-772-4226,2022-07-06,B553077,소상공인시장진흥공단
경주중심상가시장,상설장,경상북도 경주시 태종로791번길 16,경상북도 경주시 황오동 234-1,매일,35.842258,129.2146805,489,의류/신발+가정용품+기타소매업,,,Y,Y,2008,054-774-5689,2022-07-06,B553077,소상공인시장진흥공단
경주중앙시장,상설장+5일장,경상북도 경주시 금성로 295,경상북도 경주시 성건동 339-2,2일+7일,35.84396049,129.206745,716,축산물+수산물+의류/신발+기타소매업,,www.gjcentermarket.com,Y,Y,2006,054-743-3696,2022-07-06,B553077,소상공인시장진흥공단
북부상가시장,상설장+5일장,경상북도 경주시 금성로396번길 7,경상북도 경주시 성건동 629-10,2일+7일,35.853493,129.2075801,126,가공식품+음식점업+기타소매업+근린생활서비스업,,,Y,Y,2011,,2022-07-06,B553077,소상공인시장진흥공단
북정로중심상가시장,상설장,경상북도 경주시 북정로 15,경상북도 경주시 황오동 242-4,매일,35.842292,129.215179,130,가공식품+의류/신발+기타소매업,,,Y,Y,2013,,2022-07-06,B553077,소상공인시장진흥공단
불국사상가시장,상설장,경상북도 경주시 진현로1길 59-5,경상북도 경주시 진현동 66-5,매일,35.785996,129.327853,103,축산물+가공식품+의류/신발+기타소매업,,,Y,Y,2006,054-746-6666,2022-07-06,B553077,소상공인시장진흥공단
불국시장,상설장+5일장,경상북도 경주시 불국장터길 23-2,경상북도 경주시 구정동 429-7,4일+9일,35.77599964,129.3008003,34,가공식품+기타소매업,,,Y,Y,2006,,2022-07-06,B553077,소상공인시장진흥공단
서면시장,5일장,경상북도 경주시 서면 내서로 401-5,경상북도 경주시 서면 아화리 240-2,1일+6일,35.895063,129.048043,17,농산물+수산물+가공식품,,,Y,Y,1929,,2022-07-06,B553077,소상공인시장진흥공단
안강공설시장,상설장+5일장,경상북도 경주시 안강읍 비화중로3길 26-3,경상북도 경주시 안강읍 양월리 1350-1,4일+9일,35.990308,129.2217101,245,농산물+가공식품+기타소매업,,,Y,Y,2008,054-762-5356,2022-07-06,B553077,소상공인시장진흥공단
양남시장,5일장,경상북도 경주시 양남면 하서중앙길 56-28,경상북도 경주시 양남면 하서리 633-23,4일+9일,35.67537996,129.463651,92,농산물+수산물+의류/신발+음식점업+기타소매업,,,Y,Y,2012,054-774-3007,2022-07-06,B553077,소상공인시장진흥공단
양북시장,5일장,경상북도 경주시 양북면 감은로 53-8,경상북도 경주시 양북면 어일리 1295-556,5일+10일,35.790411,129.441215,50,농산물+수산물+가공식품,,,Y,Y,2007,054-776-0707,2022-07-06,B553077,소상공인시장진흥공단
제2경주중심상가시장,상설장+5일장,경상북도 경주시 원효로 89,경상북도 경주시 노동동 232,2일+7일,35.842218,129.210661,530,농산물+축산물+의류/신발+음식점업+기타소매업,,,Y,Y,2010,,2022-07-06,B553077,소상공인시장진흥공단
건천시장,상설장+5일장,경상북도 경주시 건천읍 내서로 1131-1,경상북도 경주시 건천읍 건천리 340-10,5일+10일,35.848301,129.104811,40,농산물+수산물+가공식품+기타소매업,,,Y,Y,1914,,2022-07-06,B553077,소상공인시장진흥공단
고령대가야시장,5일장,경상북도 고령군 대가야읍 시장3길 29,경상북도 고령군 대가야읍 쾌빈리 546-4,4일+9일,35.727309,128.266673,105,농산물+축산물+수산물+기타소매업,,,Y,Y,2012,054-954-5445,2022-07-06,B553077,소상공인시장진흥공단
구미공단종합시장,상설장,경상북도 구미시 수출대로3길 107,경상북도 구미시 공단동 107,매일,36.120636,128.371536,51,수산물+의류/신발+기타소매업+근린생활서비스,,,Y,Y,2005,054-463-1146,2022-07-06,B553077,소상공인시장진흥공단
구미산업유통단지,상설장,경상북도 구미시 3공단1로 302-7,경상북도 구미시 임수동 92-9,매일,36.109878,128.402646,729,근린생활서비스,,www.kumitool.co.kr,Y,Y,2009,054-473-4089,2022-07-06,B553077,소상공인시장진흥공단
구미새마을중앙시장,상설장+5일장,경상북도 구미시 구미중앙로9길 11,경상북도 구미시 원평동 117-20,1일+6일,36.130846,128.329784,228,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2006,054-452-3611,2022-07-06,B553077,소상공인시장진흥공단
구미종합상가,상설장,경상북도 구미시 구미중앙로9길 14-6,경상북도 구미시 원평동 119-15,매일,36.130511,128.330439,60,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2009,054-452-3611,2022-07-06,B553077,소상공인시장진흥공단
구미파크시장,상설장,경상북도 구미시 송동로 154,경상북도 구미시 도량동 77,매일,36.14936026,128.325471,30,농산물+가공식품+기타소매업,,,Y,Y,2006,,2022-07-06,B553077,소상공인시장진흥공단
금오시장,상설장,경상북도 구미시 금오시장로 13,경상북도 구미시 원평동 1028-3,매일,36.126112,128.340602,258,음식점업+기타소매업,,,Y,Y,2005,054-456-7321,2022-07-06,B553077,소상공인시장진흥공단
선산봉황시장,상설장+5일장,경상북도 구미시 선산읍 단계동길 24,경상북도 구미시 선산읍 완전리 253,2일+7일,36.239519,128.300921,229,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2005,054-482-0213,2022-07-06,B553077,소상공인시장진흥공단
