연번,가맹점명,업종명,전화번호,읍면동,소재지 도로명주소,위도,경도
83,115-1 coffee앤pub,카페/베이커리,,조치원읍,[30016] 세종특별자치시 조치원읍 안터길 115-1 1151 coffee앤pub,36.51311651,127.2607061
84,11그램,카페/베이커리,044-862-2227,조치원읍,[30037] 세종특별자치시 조치원읍 죽림본로 33-11 11그램,36.52029821,127.2361855
85,11번가 구제나라,의류/잡화/안경,,조치원읍,[30027] 세종특별자치시 조치원읍 조치원4길 28 11번가,36.48518629,127.3009255
86,121번가,일반음식점,044-866-3885,어진동,[30103] 세종특별자치시 절재로 194 202호,36.49128962,127.2608127
87,131피아노교습소,학원/교육,,고운동,[30062] 세종특별자치시 마음안1로 7 1420동 113호,36.51228887,127.2422369
88,15000족발 세종나성점,일반음식점,044-863-5567,나성동,[30127] 세종특별자치시 한누리대로 237 103호,36.48984021,127.262523
89,15000족발 조치원점,일반음식점,044-909-5564,조치원읍,[30034] 세종특별자치시 조치원읍 충현로 69 3로,36.48453394,127.2512342
90,153 바지락 칼국수,일반음식점,044-867-0153,종촌동,[30064] 세종특별자치시 달빛로 80 후문상가 2동 210호,36.50662054,127.2324012
91,153약국,병원/약국,044-864-1531,종촌동,[30064] 세종특별자치시 달빛로 43 2층,36.48313672,127.2584125
92,153클라이영어학원,학원/교육,,소담동,"[00000] 세종특별자치시 소담1로 16, 401호 (소담동,지엘플렉스2)",36.47730528,127.2864667
93,1775수학과학전문학원,학원/교육,044-866-1774,새롬동,"[30126] 세종특별자치시 새롬중앙로 51 604,605호",36.4845959,127.2524947
94,1972송은정보리밥본점,일반음식점,044-862-0927,조치원읍,[30020] 세종특별자치시 조치원읍 세종로 2427 송은정보리밥본점,36.48500876,127.2507832
95,1974김밥,일반음식점,,대평동,[30152] 세종특별자치시 대평로 75 113호,36.59109224,127.2908988
96,1984 그수육집칼국수,일반음식점,044-868-8360,조치원읍,[30020] 세종특별자치시 조치원읍 문화길 23 1984 그 수육집 칼국수,36.49393535,127.2558318
97,1984그수육집칼국수,일반음식점,044-863-1984,보람동,[30150] 세종특별자치시 남세종로 384 상가1동 112호 113호,36.49471794,127.2672652
98,1984그수육집칼국수세종새롬점,일반음식점,044-866-1984,새롬동,[30127] 세종특별자치시 새롬중앙로 90 110호111호,36.48964906,127.2578483
99,1987금빛통닭대평점,일반음식점,044-864-0551,금남면,[30083] 세종특별자치시 금남면 용포로 51 금빛통닭,36.46470872,127.2443395
100,1990 부대찌개,일반음식점,044-903-8688,아름동,[30100] 세종특별자치시 세종로 1234-16 103호,36.51933277,127.2345983
101,1도씨맥주 세종아름점,일반음식점,,아름동,[30100] 세종특별자치시 보듬3로 104-17 101호,36.48984021,127.262523
102,1등타이어할인점,자동차/자전거,044-866-5600,조치원읍,[30026] 세종특별자치시 조치원읍 허만석로 257 1등타이어할인점,36.52933612,127.2632544
103,1박2일렌탈,미용/뷰티/위생,,금남면,[30084] 세종특별자치시 금남면 도암영곡길 289 1박2일천막렌탈,36.51311651,127.2607061
104,1인주의 영어 교습소,학원/교육,,산울동,[30091] 세종특별자치시 산울2로 10 산울마을6단지 B동상가 212호,36.48112606,127.2894226
105,1인주의수학교습소,학원/교육,,산울동,[30091] 세종특별자치시 산울2로 10 상가 B동 211호,36.4994599,127.3146279
106,2005진돈가스,일반음식점,044-863-0708,조치원읍,[30024] 세종특별자치시 조치원읍 새내16길 51 2005진돈가스,36.48318974,127.2596954
107,21세기학원,학원/교육,,새롬동,"[30126] 세종특별자치시 새롬중앙로 33 305, 306, 307호",36.51138472,127.2489108
108,24시무인카페 만월경 세종소담점,기타,,소담동,[30150] 세종특별자치시 남세종로 357 상가1층 2동208호 만월경,36.52991252,127.264656
109,세종시 하수구 변기막힘 뚫음전문업체 세종설비,미용/뷰티/위생,,한솔동,[30130] 세종특별자치시 나리로 38 708~1101호,36.55859616,127.2498402
110,24시 세종청사 출장열쇠,의류/잡화/안경,,나성동,[30128] 세종특별자치시 국세청로 4 갤러리 세종 프라자 411,36.49788278,127.3099313
111,24 전주명가 콩나물국밥,일반음식점,044-868-1666,나성동,"[30127] 세종특별자치시 한누리대로 287 108,109호",36.52991252,127.264656
112,250도 파스타,일반음식점,044-863-8910,나성동,[30128] 세종특별자치시 국세청로 32 c동 2층 215호,36.50281819,127.2481227
113,25센치꼬치앤오뎅바 보람점,일반음식점,044-866-4912,보람동,[30150] 세종특별자치시 호려울로 51 113호,36.53003552,127.2641412
114,25시노래연습장,도서/문화/공연,044-866-5104,부강면,[30075] 세종특별자치시 부강면 시장길 22,36.48981805,127.2589404
115,25카츠 세종점,일반음식점,044-863-2533,종촌동,[30064] 세종특별자치시 도움3로 105-6 스마트빌딩 102호,36.53019538,127.3625541
116,3030영어,학원/교육,044-867-3238,한솔동,[30130] 세종특별자치시 나리로 38 705동101호,36.49761871,127.2050309
117,306야채,슈퍼/마트,,조치원읍,[30027] 세종특별자치시 조치원읍 새내10길 27 101호,36.48561944,127.2591143
118,30년전통 제주어멍해장국,일반음식점,,,"[00000] 세종특별자치시 한누리대로  1952, 1층 108, 109, 110a호 (반곡동,반곡타워)",36.48984021,127.262523
119,32모터스,자동차/자전거,044-868-3232,금남면,[30083] 세종특별자치시 금남면 금남구즉로 96 1층,36.48594093,127.300517
120,33떡볶이 세종보람점,일반음식점,044-863-5133,보람동,[30150] 세종특별자치시 남세종로 503 119동112호,36.5029379,127.2499634
121,3-3커피,카페/베이커리,,소담동,[30147] 세종특별자치시 국책연구원1로 15 상가 A동 104호,36.48006,127.289041
122,365 열린문구점 세종 해밀점,의류/잡화/안경,,해밀동,[30092] 세종특별자치시 해밀3로 32 근린생활시설 205호,36.59074224,127.2926678
123,365 옛날통닭,일반음식점,044-865-5677,산울동,[30091] 세종특별자치시 산울2로 40 단지내상가 110호,36.50830575,127.2624486
124,365열린약국,병원/약국,044-555-3658,새롬동,[30126] 세종특별자치시 새롬중앙로 67 105호 365열린약국,36.51202909,127.255391
125,365열린 연합의원,병원/약국,044-864-7757,고운동,[30063] 세종특별자치시 마음로 74 3층 302호,36.51100608,127.2431761
126,365행복케어,병원/약국,044-864-0365,조치원읍,[30029] 세종특별자치시 조치원읍 충현로 90 365행복케어,36.50313574,127.2498945
127,3900콩나물국밥,일반음식점,044-866-9933,조치원읍,[30016] 세종특별자치시 조치원읍 섭골길 26 3900콩나물국밥,36.48441891,127.2991579
128,3M오토네비세종점,자동차/자전거,044-865-8031,장군면,[30055] 세종특별자치시 장군면 장척로 561-1 3M오토네비 세종점,36.49099949,127.2576233
129,3s스팀세차,자동차/자전거,044-865-6699,종촌동,[30064] 세종특별자치시 달빛로 80 상가 1102호,36.49813309,127.3127085
130,3단계 청사미용실,미용/뷰티/위생,044-204-1446,나성동,[30128] 세종특별자치시 국세청로 8-14 정부종합2청사 국세청동 B111호,36.5041451,127.2717535
131,406스튜디오,도서/문화/공연,,나성동,[30128] 세종특별자치시 나성로 96 406호,36.48852308,127.2564862
132,4디박스창업교육사회적협동조합,학원/교육,044-867-3875,금남면,[30056] 세종특별자치시 장군면 정자말길 15-8 2층,36.48642112,127.2619638
133,4잔찮,일반음식점,044-865-1319,어진동,[30121] 세종특별자치시 가름로 180 128호 4잔찮 카페,36.49056884,127.3028528
134,4차원수학학원,학원/교육,,나성동,[30126] 세종특별자치시 새롬중앙로 55 행운빌딩 505호,36.50915446,127.2382708
135,5.5닭갈비 보람점,일반음식점,044-866-0052,보람동,[30150] 세종특별자치시 남세종로 466 204호 5,36.53356731,127.357758
136,59꼬마김밥카페,일반음식점,044-865-5903,조치원읍,[00000] 세종특별자치시 조치원읍 새내10길 61 (상리),36.50552979,127.2351693
137,59쌀 피자 전의점,일반음식점,044-868-5953,전의면,[30004] 세종특별자치시 전의면 운주산로 1170 재동상가 3-4호,36.59109224,127.2908988
138,5바,일반음식점,044-715-5505,나성동,"[00000] 세종특별자치시 나성북로 9, 3층 302호 (나성동,메가타워1)",36.50148821,127.2359346
139,엔투비주식회사,미용/뷰티/위생,044-715-5998,어진동,[30121] 세종특별자치시 한누리대로 350 6층 T16,36.51958087,127.2353439
140,60계 세종새롬점,일반음식점,044-865-6079,새롬동,[30127] 세종특별자치시 새롬중앙로 62-15 1층 60계 치킨,36.47422084,127.277088
141,60계 세종어진점,일반음식점,044-868-7960,어진동,[30121] 세종특별자치시 가름로 232 A동138호 139호,36.60296605,127.2902091
142,60계세종소담점,일반음식점,044-272-6088,소담동,"[30150] 세종특별자치시 소담1로 12 1층 116,117호",36.54118458,127.2672411
143,60계치킨 세종해밀점,일반음식점,044-864-2055,해밀동,[30092] 세종특별자치시 해밀3로 32 근린생활시설동 지1층 105호,36.50267993,127.2476328
144,60계치킨 세종대평점,일반음식점,044-863-8260,대평동,"[30152] 세종특별자치시 대평로 75 103,104호 1층 60계치킨",36.49930248,127.3076416
145,60계치킨세종아름점,일반음식점,044-865-8260,아름동,[30100] 세종특별자치시 보듬3로 91 120호,36.48607017,127.2576814
146,60계 치킨 조치원점,일반음식점,044-865-6040,조치원읍,[30031] 세종특별자치시 조치원읍 대첩로 75 109호,36.51311651,127.2607061
147,702 세라믹 스튜디오,부동산/인테리어,,,[30123] 세종특별자치시 한누리대로 321 336호,36.51933277,127.2345983
148,707COFFEE 세종법원점,카페/베이커리,,반곡동,[30147] 세종특별자치시 한누리대로 1952 101호 707커피,36.48702109,127.2511992
149,707COFFEE 세종보람점,카페/베이커리,,보람동,[30150] 세종특별자치시 남세종로 466 103호 707커피,36.47878318,127.2879597
150,707coffee아름점,일반음식점,,아름동,[30100] 세종특별자치시 보듬3로 143 1층 101호 (아름동 대영프라자),36.47703339,127.2892367
151,707사격 나성점,레저,,나성동,[30128] 세종특별자치시 나성로 133-15 204호,36.48043906,127.2608375
152,707커피(company),카페/베이커리,,한솔동,[30130] 세종특별자치시 노을1로 16 137호,36.52650365,127.2628234
153,79대포 세종집현점,일반음식점,044-868-7978,집현동,[30141] 세종특별자치시 남세종로 73 107호,36.59642182,127.3021943
154,79대포보람점,일반음식점,044-999-4879,보람동,"[30150] 세종특별자치시 한누리대로 2165 1층 b124,b125호",36.50473764,127.249533
155,79부추삼겹살,일반음식점,,조치원읍,[30019] 세종특별자치시 조치원읍 내창3길 19 1층 103호,36.59719981,127.2950231
156,7곡제면소 세종나성점,일반음식점,044-864-2717,나성동,[30127] 세종특별자치시 한누리대로 275 102호,36.49393535,127.2558318
157,7번가피자 세종산울해밀점,일반음식점,044-862-7779,산울동,[30091] 세종특별자치시 산울7로 11 706동 상가 115호,36.48281548,127.2618417
158,7번가피자 세종새롬점,일반음식점,044-863-7177,새롬동,[30126] 세종특별자치시 새롬중앙로 41 무지개타워 112호,36.47315978,127.2759931
159,7번가피자 세종시청점,일반음식점,044-867-8677,보람동,"[30151] 세종특별자치시 한누리대로 2200 단지내상가 C동 103,104호",36.48728025,127.2653708
160,7번가피자 세종점,일반음식점,044-867-7768,아름동,[30100] 세종특별자치시 아름서길 3 1층 101호102호,36.50473764,127.249533
161,7번길,일반음식점,044-867-8000,조치원읍,[30021] 세종특별자치시 조치원읍 행복7길 9-14 1층 sevenstreet,36.49622449,127.2081481
162,88羊 양갈비 훠궈,일반음식점,044-417-6988,보람동,[30150] 세종특별자치시 남세종로 466 2층 205호,36.47730528,127.2864667
163,88양꼬치,일반음식점,044-864-2188,보람동,[30150] 세종특별자치시 호려울로 9 114,36.52953953,127.2626272
164,89컴퍼니,일반음식점,,보람동,[30151] 세종특별자치시 시청대로 213 117호~118호,36.50039326,127.2581143
165,9292숯불구이,일반음식점,044-272-9298,고운동,[30062] 세종특별자치시 마음로 248 9292 고깃집,36.47795332,127.2893511
166,98도씨 국밥 세종점,일반음식점,,나성동,[30123] 세종특별자치시 한누리대로 321 1층 148호,36.47484741,127.2763792
167,ABC FITNESS,스포츠/헬스,,나성동,[30128] 세종특별자치시 국세청로 32 C동 601호,36.51557713,127.2578469
168,abc헤어 다정점,미용/뷰티/위생,044-867-6966,다정동,[30124] 세종특별자치시 다정중앙로 45 204호 abc헤어,36.48224791,127.2931956
169,Alamode,미용/뷰티/위생,,종촌동,"[00000] 세종특별자치시 도움1로 108, 3층 326호 (종촌동,몰리브(Mallive))",36.48474477,127.2994005
170,BAKE 229,일반음식점,070-8779-0229,보람동,[30150] 세종특별자치시 호려울로 9 네이버타워 108호,36.57366307,127.3235719
171,BakeDays,일반음식점,,나성동,[30130] 세종특별자치시 한누리대로 169 104호 베이크데이즈,36.47422084,127.277088
172,bbq세종고운점,일반음식점,044-863-9285,고운동,[30062] 세종특별자치시 마음안1로 137 10동 104호,36.48544874,127.3011129
173,bepoomcar(베품카),자동차/자전거,,부강면,[30076] 세종특별자치시 부강면 부강신대길 9 대형화물차용품점,36.50764102,127.262801
174,berrypeach330,카페/베이커리,,반곡동,[30147] 세종특별자치시 국책연구원3로 6 116호,36.49205216,127.303766
175,BERY:B HAIR,미용/뷰티/위생,,아름동,[30100] 세종특별자치시 달빛1로 158 상가동 201호,36.51315349,127.2464264
176,BHC 세종집현점,일반음식점,044-866-1420,집현동,[30141] 세종특별자치시 집현동로 77 119호,36.49109449,127.3253606
177,BHC세종대평점,일반음식점,044-863-2267,금남면,[30083] 세종특별자치시 금남면 용포로 45 103호,36.46272286,127.280352
178,bhc세종레스텔점,일반음식점,044-862-8191,조치원읍,[30047] 세종특별자치시 연서면 당산로 333 봉암리 bhc세종레스텔점,36.56410093,127.2788449
179,bhc조순영,일반음식점,044-868-5030,고운동,[30063] 세종특별자치시 마음로 14 상가b동6호,36.50256727,127.2397975
180,Bhc조치원죽림점,일반음식점,044-862-7577,조치원읍,"[00000] 세종특별자치시 조치원읍 죽림로 40, 1동 1호 (우측) (죽림리)",,
181,BHC종촌점,일반음식점,044-863-9992,종촌동,[30064] 세종특별자치시 달빛1로 39 215(상가)동 지1층102호,36.50217394,127.2445679
182,BHC치킨,일반음식점,044-864-9992,조치원읍,[30021] 세종특별자치시 조치원읍 행복12길 13 BHC,36.60382692,127.2940463
183,BHC치킨 세종전의점,일반음식점,044-865-0067,전의면,[30004] 세종특별자치시 전의면 운주산로 1203 1층,36.67940678,127.2032795
184,bhc치킨 세종시청점,일반음식점,044-866-9592,보람동,[30151] 세종특별자치시 시청대로 213 금강베네치아 1층 111호 bhc치킨 세종시청점,36.48362889,127.2935514
185,BOBPC,도서/문화/공연,,보람동,"[30150] 세종특별자치시 호려울로 51 304, 305호 bobpc",36.47795332,127.2893511
186,BOBPC방,도서/문화/공연,,아름동,[30100] 세종특별자치시 아름서1길 13-4 영토빌딩 4층 403호404호 BOBPC방,36.51100608,127.2431761
187,BYC대영도매,의류/잡화/안경,044-863-1568,조치원읍,[30027] 세종특별자치시 조치원읍 새내10길 13 1층,36.60049411,127.2989163
188,cafe Re 호떡,카페/베이커리,044-865-1567,고운동,[30062] 세종특별자치시 마음로 272-11 114호,36.51882045,127.2362223
189,cafe GA GA카페가가,일반음식점,044-868-0706,조치원읍,[30027] 세종특별자치시 조치원읍 새내로 76 1층,36.59870863,127.2987313
190,CAFFE:123,일반음식점,044-864-1203,부강면,[30075] 세종특별자치시 부강면 시장길 2 2층,36.52725837,127.3695349
191,chai미엔,일반음식점,044-867-5782,도담동,[30100] 세종특별자치시 보듬3로 8-21 2층 chai미엔,36.51410872,127.257939
192,cheers,일반음식점,,나성동,[30128] 세종특별자치시 한누리대로 284 109호,36.48955499,127.257213
