지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2023,인천광역시,계양구,당뇨병의료이용률,284620,29142,10.24
2023,인천광역시,서구,당뇨병의료이용률,584993,50038,8.55
2023,인천광역시,강화군,당뇨병의료이용률,68759,10689,15.55
2023,인천광역시,옹진군,당뇨병의료이용률,17961,2907,16.19
2023,광주광역시,전체,당뇨병의료이용률,1411754,121782,8.63
2023,광주광역시,동구,당뇨병의료이용률,103741,10321,9.95
2023,광주광역시,서구,당뇨병의료이용률,281703,24590,8.73
2023,광주광역시,남구,당뇨병의료이용률,208153,19894,9.56
2023,광주광역시,북구,당뇨병의료이용률,416819,38016,9.12
2023,광주광역시,광산구,당뇨병의료이용률,401338,28961,7.22
2023,대전광역시,전체,당뇨병의료이용률,1416626,128528,9.07
2023,대전광역시,동구,당뇨병의료이용률,217645,24239,11.14
2023,대전광역시,중구,당뇨병의료이용률,222558,24698,11.1
2023,대전광역시,서구,당뇨병의료이용률,459836,37752,8.21
2023,대전광역시,유성구,당뇨병의료이용률,346269,23199,6.7
2023,대전광역시,대덕구,당뇨병의료이용률,170318,18640,10.94
2023,울산광역시,전체,당뇨병의료이용률,1104873,96518,8.74
2023,울산광역시,중구,당뇨병의료이용률,205526,20052,9.76
2023,울산광역시,남구,당뇨병의료이용률,307698,25734,8.36
2023,울산광역시,동구,당뇨병의료이용률,151882,13624,8.97
2023,울산광역시,북구,당뇨병의료이용률,216546,15584,7.2
2023,울산광역시,울주군,당뇨병의료이용률,223221,21524,9.64
2023,세종특별자치시,전체,당뇨병의료이용률,369237,23503,6.37
2023,세종특별자치시,세종시,당뇨병의료이용률,369237,23503,6.37
2023,경기도,전체,당뇨병의료이용률,13593887,1210929,8.91
2023,경기도,수원시 장안구,당뇨병의료이용률,271298,24231,8.93
2023,경기도,수원시 권선구,당뇨병의료이용률,369475,31531,8.53
2023,경기도,수원시 팔달구,당뇨병의료이용률,204237,18409,9.01
2023,경기도,수원시 영통구,당뇨병의료이용률,357863,20014,5.59
2023,경기도,성남시 수정구,당뇨병의료이용률,233456,22367,9.58
2023,경기도,성남시 중원구,당뇨병의료이용률,207498,20844,10.05
2023,경기도,성남시 분당구,당뇨병의료이용률,470107,29967,6.37
2023,경기도,의정부시,당뇨병의료이용률,451493,46536,10.31
2023,경기도,안양시 만안구,당뇨병의료이용률,232320,23645,10.18
2023,경기도,안양시 동안구,당뇨병의료이용률,306617,22829,7.45
2023,경기도,부천시,당뇨병의료이용률,805226,78287,9.72
2023,경기도,광명시,당뇨병의료이용률,285073,24984,8.76
2023,경기도,평택시,당뇨병의료이용률,572816,51006,8.9
2023,경기도,동두천시,당뇨병의료이용률,86941,11444,13.16
2023,경기도,안산시 상록구,당뇨병의료이용률,355364,33364,9.39
2023,경기도,안산시 단원구,당뇨병의료이용률,338951,29882,8.82
2023,경기도,고양시 덕양구,당뇨병의료이용률,476250,45426,9.54
2023,경기도,고양시 일산동구,당뇨병의료이용률,291586,24873,8.53
2023,경기도,고양시 일산서구,당뇨병의료이용률,286412,24325,8.49
2023,경기도,과천시,당뇨병의료이용률,75148,4407,5.86
2023,경기도,구리시,당뇨병의료이용률,185432,17248,9.3
2023,경기도,남양주시,당뇨병의료이용률,722665,70033,9.69
2023,경기도,오산시,당뇨병의료이용률,239007,18873,7.9
2023,경기도,시흥시,당뇨병의료이용률,547763,47180,8.61
2023,경기도,군포시,당뇨병의료이용률,267851,22799,8.51
2023,경기도,의왕시,당뇨병의료이용률,157130,13276,8.45
2023,경기도,하남시,당뇨병의료이용률,319120,24952,7.82
2023,경기도,용인시 처인구,당뇨병의료이용률,258622,26527,10.26
2023,경기도,용인시 기흥구,당뇨병의료이용률,432414,32960,7.62
2023,경기도,용인시 수지구,당뇨병의료이용률,370231,24141,6.52
2023,경기도,파주시,당뇨병의료이용률,481172,46267,9.62
2023,경기도,이천시,당뇨병의료이용률,218671,21657,9.9
2023,경기도,안성시,당뇨병의료이용률,198886,20941,10.53
2023,경기도,김포시,당뇨병의료이용률,489551,41169,8.41
2023,경기도,화성시,당뇨병의료이용률,927687,65824,7.1
2023,경기도,광주시,당뇨병의료이용률,393167,38515,9.8
2023,경기도,양주시,당뇨병의료이용률,233078,25767,11.06
2023,경기도,포천시,당뇨병의료이용률,146404,19897,13.59
2023,경기도,여주시,당뇨병의료이용률,112887,14465,12.81
2023,경기도,연천군,당뇨병의료이용률,36392,5934,16.31
2023,경기도,가평군,당뇨병의료이용률,59386,8706,14.66
2023,경기도,양평군,당뇨병의료이용률,118240,15427,13.05
2023,강원도,전체,당뇨병의료이용률,1453389,172166,11.85
2023,강원도,춘천시,당뇨병의료이용률,272221,29000,10.65
2023,강원도,원주시,당뇨병의료이용률,347795,34997,10.06
2023,강원도,강릉시,당뇨병의료이용률,205156,22463,10.95
2023,강원도,동해시,당뇨병의료이용률,82964,9991,12.04
2023,강원도,태백시,당뇨병의료이용률,38666,5186,13.41
2023,강원도,속초시,당뇨병의료이용률,77468,8846,11.42
2023,강원도,삼척시,당뇨병의료이용률,61692,7997,12.96
2023,강원도,홍천군,당뇨병의료이용률,62482,8950,14.32
2023,강원도,횡성군,당뇨병의료이용률,45332,6895,15.21
2023,강원도,영월군,당뇨병의료이용률,36871,5604,15.2
2023,강원도,평창군,당뇨병의료이용률,40506,5959,14.71
2023,강원도,정선군,당뇨병의료이용률,34378,4997,14.54
2023,강원도,철원군,당뇨병의료이용률,35741,5295,14.81
2023,강원도,화천군,당뇨병의료이용률,17696,2814,15.9
2023,강원도,양구군,당뇨병의료이용률,17126,2511,14.66
2023,강원도,인제군,당뇨병의료이용률,24508,3486,14.22
2023,강원도,고성군,당뇨병의료이용률,25929,3579,13.8
2023,강원도,양양군,당뇨병의료이용률,26858,3596,13.39
2023,충청북도,전체,당뇨병의료이용률,1589653,168260,10.58
2023,충청북도,청주시 상당구,당뇨병의료이용률,191496,18107,9.46
2023,충청북도,청주시 서원구,당뇨병의료이용률,190086,17860,9.4
2023,충청북도,청주시 흥덕구,당뇨병의료이용률,267441,20819,7.78
2023,충청북도,청주시 청원구,당뇨병의료이용률,190373,16336,8.58
2023,충청북도,충주시,당뇨병의료이용률,205060,23866,11.64
2023,충청북도,제천시,당뇨병의료이용률,129463,16395,12.66
2023,충청북도,보은군,당뇨병의료이용률,31320,4938,15.77
2023,충청북도,옥천군,당뇨병의료이용률,49190,7407,15.06
2023,충청북도,영동군,당뇨병의료이용률,44144,6744,15.28
2023,충청북도,증평군,당뇨병의료이용률,35604,4028,11.31
2023,충청북도,진천군,당뇨병의료이용률,91571,9031,9.86
2023,충청북도,괴산군,당뇨병의료이용률,36528,5865,16.06
2023,충청북도,음성군,당뇨병의료이용률,100058,12209,12.2
2023,충청북도,단양군,당뇨병의료이용률,27319,4655,17.04
2023,충청남도,전체,당뇨병의료이용률,2131563,226322,10.62
2023,충청남도,천안시 동남구,당뇨병의료이용률,260209,25269,9.71
2023,충청남도,천안시 서북구,당뇨병의료이용률,405442,29465,7.27
2023,충청남도,공주시,당뇨병의료이용률,102087,13374,13.1
2023,충청남도,보령시,당뇨병의료이용률,97159,12978,13.36
2023,충청남도,아산시,당뇨병의료이용률,349447,30427,8.71
2023,충청남도,서산시,당뇨병의료이용률,174049,17535,10.07
2023,충청남도,논산시,당뇨병의료이용률,110456,15694,14.21
2023,충청남도,계룡시,당뇨병의료이용률,32278,3107,9.63
2023,충청남도,당진시,당뇨병의료이용률,170941,18041,10.55
2023,충청남도,금산군,당뇨병의료이용률,50739,7345,14.48
2023,충청남도,부여군,당뇨병의료이용률,61960,9531,15.38
2023,충청남도,서천군,당뇨병의료이용률,49773,7982,16.04
2023,충청남도,청양군,당뇨병의료이용률,30260,4845,16.01
2023,충청남도,홍성군,당뇨병의료이용률,97923,11215,11.45
2023,충청남도,예산군,당뇨병의료이용률,77958,11075,14.21
2023,충청남도,태안군,당뇨병의료이용률,60882,8439,13.86
2023,전라북도,전체,당뇨병의료이용률,1751851,194209,11.09
2023,전라북도,전주시 완산구,당뇨병의료이용률,328542,29293,8.92
2023,전라북도,전주시 덕진구,당뇨병의료이용률,315145,25563,8.11
2023,전라북도,군산시,당뇨병의료이용률,260552,29789,11.43
2023,전라북도,익산시,당뇨병의료이용률,269896,30913,11.45
2023,전라북도,정읍시,당뇨병의료이용률,104548,13932,13.33
2023,전라북도,남원시,당뇨병의료이용률,77187,9610,12.45
2023,전라북도,김제시,당뇨병의료이용률,81571,11676,14.31
2023,전라북도,완주군,당뇨병의료이용률,92593,10506,11.35
2023,전라북도,진안군,당뇨병의료이용률,24245,3616,14.91
2023,전라북도,무주군,당뇨병의료이용률,23215,3264,14.06
2023,전라북도,장수군,당뇨병의료이용률,21140,2943,13.92
2023,전라북도,임실군,당뇨병의료이용률,25475,3744,14.7
2023,전라북도,순창군,당뇨병의료이용률,26343,3677,13.96
2023,전라북도,고창군,당뇨병의료이용률,51962,7969,15.34
2023,전라북도,부안군,당뇨병의료이용률,49437,7714,15.6
2023,전라남도,전체,당뇨병의료이용률,1797627,214544,11.93
2023,전라남도,목포시,당뇨병의료이용률,213358,23949,11.22
2023,전라남도,여수시,당뇨병의료이용률,271827,31352,11.53
2023,전라남도,순천시,당뇨병의료이용률,273870,24534,8.96
2023,전라남도,나주시,당뇨병의료이용률,115683,12782,11.05
2023,전라남도,광양시,당뇨병의료이용률,150158,12917,8.6
2023,전라남도,담양군,당뇨병의료이용률,44334,6098,13.75
2023,전라남도,곡성군,당뇨병의료이용률,26801,3925,14.64
2023,전라남도,구례군,당뇨병의료이용률,24171,3442,14.24
2023,전라남도,고흥군,당뇨병의료이용률,61365,10274,16.74
2023,전라남도,보성군,당뇨병의료이용률,38012,5615,14.77
2023,전라남도,화순군,당뇨병의료이용률,61228,8126,13.27
2023,전라남도,장흥군,당뇨병의료이용률,35337,5041,14.27
2023,전라남도,강진군,당뇨병의료이용률,32853,4918,14.97
2023,전라남도,해남군,당뇨병의료이용률,65489,9404,14.36
2023,전라남도,영암군,당뇨병의료이용률,55388,7083,12.79
2023,전라남도,무안군,당뇨병의료이용률,89046,9402,10.56
2023,전라남도,함평군,당뇨병의료이용률,30522,4891,16.02
2023,전라남도,영광군,당뇨병의료이용률,51549,7543,14.63
2023,전라남도,장성군,당뇨병의료이용률,40880,5660,13.85
2023,전라남도,완도군,당뇨병의료이용률,48346,7044,14.57
2023,전라남도,진도군,당뇨병의료이용률,29840,4350,14.58
2023,전라남도,신안군,당뇨병의료이용률,37570,6194,16.49
2023,경상북도,전체,당뇨병의료이용률,2571471,289117,11.24
2023,경상북도,포항시 남구,당뇨병의료이용률,218061,23271,10.67
2023,경상북도,포항시 북구,당뇨병의료이용률,263951,26253,9.95
2023,경상북도,경주시,당뇨병의료이용률,253664,29489,11.63
2023,경상북도,김천시,당뇨병의료이용률,138142,16227,11.75
2023,경상북도,안동시,당뇨병의료이용률,152492,18035,11.83
2023,경상북도,구미시,당뇨병의료이용률,402835,31161,7.74
2023,경상북도,영주시,당뇨병의료이용률,99579,12641,12.69
2023,경상북도,영천시,당뇨병의료이용률,99909,13630,13.64
2023,경상북도,상주시,당뇨병의료이용률,93624,12625,13.48
2023,경상북도,문경시,당뇨병의료이용률,68985,9750,14.13
2023,경상북도,경산시,당뇨병의료이용률,267665,26032,9.73
2023,경상북도,군위군,당뇨병의료이용률,23123,3835,16.59
2023,경상북도,의성군,당뇨병의료이용률,49504,7700,15.55
2023,경상북도,청송군,당뇨병의료이용률,23971,3795,15.83
2023,경상북도,영양군,당뇨병의료이용률,15803,2198,13.91
2023,경상북도,영덕군,당뇨병의료이용률,34454,5353,15.54
2023,경상북도,청도군,당뇨병의료이용률,41270,6394,15.49
2023,경상북도,고령군,당뇨병의료이용률,31088,4517,14.53
2023,경상북도,성주군,당뇨병의료이용률,42849,6614,15.44
2023,경상북도,칠곡군,당뇨병의료이용률,111539,11239,10.08
2023,경상북도,예천군,당뇨병의료이용률,53814,6766,12.57
2023,경상북도,봉화군,당뇨병의료이용률,29663,4494,15.15
2023,경상북도,울진군,당뇨병의료이용률,46787,5902,12.61
2023,경상북도,울릉군,당뇨병의료이용률,8699,1196,13.75
2023,경상남도,전체,당뇨병의료이용률,3229921,308299,9.55
2023,경상남도,창원시 의창구,당뇨병의료이용률,210963,17226,8.17
2023,경상남도,창원시 성산구,당뇨병의료이용률,245191,15899,6.48
2023,경상남도,창원시 마산합포구,당뇨병의료이용률,176130,17684,10.04
2023,경상남도,창원시 마산회원구,당뇨병의료이용률,180621,17097,9.47
2023,경상남도,창원시 진해구,당뇨병의료이용률,170652,16122,9.45
2023,경상남도,진주시,당뇨병의료이용률,337281,29673,8.8
2023,경상남도,통영시,당뇨병의료이용률,122537,13591,11.09
2023,경상남도,사천시,당뇨병의료이용률,107075,11791,11.01
2023,경상남도,김해시,당뇨병의료이용률,538128,45131,8.39
2023,경상남도,밀양시,당뇨병의료이용률,102836,13119,12.76
2023,경상남도,거제시,당뇨병의료이용률,234946,18141,7.72
2023,경상남도,양산시,당뇨병의료이용률,351517,31658,9.01
2023,경상남도,의령군,당뇨병의료이용률,25962,3828,14.74
2023,경상남도,함안군,당뇨병의료이용률,61857,7199,11.64
2023,경상남도,창녕군,당뇨병의료이용률,59140,8291,14.02
2023,경상남도,고성군,당뇨병의료이용률,50114,6670,13.31
2023,경상남도,남해군,당뇨병의료이용률,41159,6537,15.88
2023,경상남도,하동군,당뇨병의료이용률,41769,5768,13.81
2023,경상남도,산청군,당뇨병의료이용률,33836,4729,13.98
2023,경상남도,함양군,당뇨병의료이용률,37218,5022,13.49
2023,경상남도,거창군,당뇨병의료이용률,59350,6744,11.36
2023,경상남도,합천군,당뇨병의료이용률,41639,6379,15.32
2023,제주특별자치도,전체,당뇨병의료이용률,673989,55211,8.19
2023,제주특별자치도,제주시,당뇨병의료이용률,490757,37896,7.72
2023,제주특별자치도,서귀포시,당뇨병의료이용률,183232,17315,9.45
